SHIPMENT,CUSTOMER,SUPPLIER,VOLUME,Qty,RCV/PUG,POL,Destsite
SH001-2024,ACME Corp,Global Manufacturing Ltd,25.5,2,15/01/2024,Shanghai,HALDENSLEBEN
SH002-2024,Tech Solutions Inc,Asia Components Co,18.2,1,20/01/2024,Yantian,Hamburg
SH003-2024,Euro Logistics,China Export Ltd,32.8,3,25/01/2024,Qingdao,Rotterdam
SH004-2024,Pacific Trade,Industrial Supplies,15.7,1,28/01/2024,Ningbo,Los Angeles
SH005-2024,Global Express,Manufacturing Hub,42.3,4,02/02/2024,Tianjin,PEINE
SH006-2024,Ocean Freight Co,Production Center,28.9,2,05/02/2024,Dalian,New York
SH007-2024,Cargo Masters,Supply Chain Inc,35.1,3,08/02/2024,Shanghai,ROTTENDORF
SH008-2024,Shipping Excellence,Quality Goods Ltd,19.6,2,12/02/2024,Yantian,London
SH009-2024,Trade Solutions,Export Specialists,27.4,3,15/02/2024,Qingdao,APFELSTÃ„DT
SH010-2024,Maritime Logistics,Global Sources,33.7,2,18/02/2024,Ningbo,WITTENBERGE